Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,140-114,Minor,processing alarm,missing value for system parameter MTS_SERVICE,"No value was specified for the MTS_SERVICE initialization parameter, nor for the DB_NAME parameter.","From Oracle doc: Add an MTS_SERVICE or DB_NAME definition to the initialization file. By default, MTS_SERVICE is the value of DB_NAME unless MTS_SERVICE is explicitly specified.",-- not available --
Parvez,PCS,140-115,Minor,processing alarm,connection refused; dispatcher connection table is full,A connection request was refused by a dispatcher because the dispatcher cannot support any more connections.,From Oracle doc: Connect to a different dispatcher or use a dedicated server.,-- not available --
Parvez,PCS,140-116,Warning,indeterminate,MTS_SERVICE name is too long,The service name specified in the MTS_SERVICE initialization parameter is too long.,From Oracle doc: Use a shorter name for the MTS_SERVICE value (less than or equal to 255 characters).,-- not available --
Parvez,PCS,140-117,Minor,processing alarm,value out of range for system parameter MTS_SERVERS,The specified value of the MTS_SERVERS parameter is incorrect.,From Oracle doc: MTS_SERVERS must be greater than or equal to 0 and less than or equal to the value of MTS_MAX_SERVERS.,-- not available --
Parvez,PCS,140-118,Minor,processing alarm,value out of range for system parameter MTS_DISPATCHERS,The value of the MTS_DISPATCHERS parameter is incorrect.,From Oracle doc: The sum of all MTS_DISPATCHERS values must be greater than or equal to 0 and less than or equal to the value of MTS_MAX_DISPATCHERS.,-- not available --
Parvez,PCS,140-119,Minor,processing alarm,invalid specification for system parameter MTS_LISTENER_ADDRESS,The syntax for the MTS_LISTENER_ADDRESS parameter is incorrect.,From Oracle doc: Refer to the Oracle8i Reference manual for the correct syntax.,-- not available --
Parvez,PCS,140-120,Minor,processing alarm,dispatching mechanism not enabled or installed,Either the dispatching mechanism was not enabled or the Oracle executable image was not installed with the dispatching mechanism.,From Oracle doc: Refer to the Oracle8i Administrator's Guide and your operating system-specific documentation for procedures for starting and configuration the dispatcher process.,-- not available --
Parvez,PCS,140-121,Minor,processing alarm,MTS_SERVERS specified without MTS_DISPATCHERS,"A definition for MTS_SERVERS was specified in the INIT.ORA file, but no definition for MTS_DISPATCHERS was specified. Without a value for MTS_DISPATCHERS, shared servers will never be used.","From Oracle doc: Add a definition for MTS_DISPATCHERS in the INIT.ORA file (or take out the definition for MTS_SERVERS, if MTS is not being used).",-- not available --
Parvez,PCS,140-122,Minor,processing alarm,cannot initialize network configuration,Oracle could not initialize Net8.,From Oracle doc: See accompanying messages.,-- not available --
Parvez,PCS,140-123,Minor,processing alarm,idle public server terminating,Too many idle servers were waiting on the common queue.,"From Oracle doc: This error is used internally, no action is required.",-- not available --
